P(a | i.) 0.04067660088602497
P(king | hereditary) 0.04067660088602497
P(of | king) 0.07222421846927775
P(you | “but) 0.0317310713163682
P(can | you) 0.021652483033502097
P(understand,” | can) 0.03629177146963708
P(said | understand,”) 0.042383550146873686
P(our | said) 0.0215673713431561
P(visitor, | strange) 0.03910181958962446
P(sitting | visitor,) 0.04067660088602497
P(down | sitting) 0.042383550146873686
P(once | down) 0.02473671320107764
P(and | more) 0.037644427879239654
P(passing | and) 0.004636643253913602
P(his | passing) 0.042383550146873686
P(over | hand) 0.03629177146963708
P(high | his) 0.008499537153917361
P(white | high) 0.042383550146873686
P(forehead, | white) 0.04067660088602497
P(“you | forehead,) 0.042383550146873686
P(can | “you) 0.026010816379088336
P(accustomed | not) 0.015823280589064705
P(to | accustomed) 0.03910181958962446
P(doing | to) 0.004790589574538728
P(such | doing) 0.042383550146873686
P(business | such) 0.033858531679517266
P(in | business) 0.04067660088602497
P(yet | person.) 0.042383550146873686
P(the | yet) 0.03503295178633368
P(was | matter) 0.06314797360980207
P(so | was) 0.00842860719352416
P(delicate | so) 0.030764544623819678
P(that | delicate) 0.03910181958962446
P(confide | not) 0.015823280589064705
P(it | confide) 0.042383550146873686
P(to | it) 0.009113056031760354
P(agent | an) 0.023581601681064674
P(without | agent) 0.03910181958962446
P(putting | without) 0.033858531679517266
P(myself | putting) 0.04067660088602497
P(in | myself) 0.10440513354144987
P(power. | his) 0.008499537153917361
P(i | power.) 0.042383550146873686
P(come | have) 0.014890166592952971
P(_incognito_ | come) 0.04067660088602497
P(prague | from) 0.01716811150773415
P(for | prague) 0.042383550146873686
P(purpose | the) 0.0026521019877635693
P(of | purpose) 0.042383550146873686
P(consulting | of) 0.004375514447862063
P(you.” | consulting) 0.042383550146873686
P(pray | “then,) 0.03629177146963708
P(consult,” | pray) 0.042383550146873686
P(said | consult,”) 0.042383550146873686
P(holmes, | said) 0.0215673713431561
P(shutting | holmes,) 0.037644427879239654
P(his | shutting) 0.042383550146873686
P(once | eyes) 0.033858531679517266
P(more. | once) 0.033858531679517266
P(facts | “the) 0.03276029841063899
P(are | facts) 0.04067660088602497
P(briefly | are) 0.023043577458361855
P(these: | briefly) 0.042383550146873686
P(some | these:) 0.042383550146873686
P(five | some) 0.028997990238300318
P(years | five) 0.03503295178633368
P(ago, | years) 0.04067660088602497
P(during | ago,) 0.042383550146873686
P(a | during) 0.042383550146873686
P(lengthy | a) 0.004813420387933088
P(to | visit) 0.042383550146873686
P(warsaw, | to) 0.004790589574538728
P(i | warsaw,) 0.042383550146873686
P(made | i) 0.010532935073101712
P(the | made) 0.03629177146963708
P(acquaintance | the) 0.0026521019877635693
P(of | acquaintance) 0.042383550146873686
P(well-known | the) 0.0026521019877635693
P(adventuress, | well-known) 0.042383550146873686
P(the | adler.) 0.04067660088602497
P(name | the) 0.005277945540004726
P(is | name) 0.037644427879239654
P(no | is) 0.01163192445007486
P(familiar | doubt) 0.037644427879239654
P(to | familiar) 0.042383550146873686
P(you.” | to) 0.009533747569131527
P(look | “kindly) 0.042383550146873686
P(her | look) 0.037644427879239654
P(up | her) 0.02111645410830023
P(in | up) 0.02026891430864941
P(index, | my) 0.01265188525616936
P(doctor,” | index,) 0.042383550146873686
P(murmured | doctor,”) 0.04067660088602497
P(holmes | murmured) 0.03910181958962446
P(without | holmes) 0.02414535022710973
P(his | opening) 0.042383550146873686
P(for | eyes.) 0.04067660088602497
P(many | for) 0.018090632276553824
P(years | many) 0.04067660088602497
P(he | years) 0.04067660088602497
P(adopted | had) 0.014673834083975011
P(a | adopted) 0.042383550146873686
P(system | a) 0.004813420387933088
P(of | system) 0.08095046314941601
P(docketing | of) 0.004375514447862063
P(paragraphs | all) 0.02473671320107764
P(concerning | paragraphs) 0.042383550146873686
P(men | concerning) 0.042383550146873686
P(and | men) 0.037644427879239654
P(things, | and) 0.004636643253913602
P(so | things,) 0.042383550146873686
P(that | so) 0.061224489795918366
P(difficult | was) 0.00842860719352416
P(to | difficult) 0.042383550146873686
P(a | name) 0.037644427879239654
P(subject | a) 0.004813420387933088
P(or | subject) 0.042383550146873686
P(person | a) 0.004813420387933088
P(on | person) 0.03910181958962446
P(which | on) 0.043857735108007855
P(could | he) 0.029559069036629675
P(at | not) 0.015823280589064705
P(furnish | once) 0.033858531679517266
P(in | information.) 0.042383550146873686
P(case | this) 0.02473671320107764
P(i | case) 0.03629177146963708
P(found | i) 0.010532935073101712
P(her | found) 0.03503295178633368
P(biography | her) 0.02111645410830023
P(sandwiched | biography) 0.042383550146873686
P(in | sandwiched) 0.042383550146873686
P(between | in) 0.006786266209769535
P(of | that) 0.02054584483287335
P(hebrew | a) 0.004813420387933088
P(rabbi | hebrew) 0.042383550146873686
P(and | rabbi) 0.042383550146873686
P(staff-commander | a) 0.004813420387933088
P(who | staff-commander) 0.042383550146873686
P(written | had) 0.014673834083975011
P(a | written) 0.04067660088602497
P(upon | monograph) 0.042383550146873686
P(deep-sea | the) 0.0026521019877635693
P(fishes. | deep-sea) 0.042383550146873686
P(me | “let) 0.042383550146873686
P(see!” | me) 0.02414535022710973
P(said | see!”) 0.042383550146873686
P(“hum! | holmes.) 0.033858531679517266
P(born | “hum!) 0.042383550146873686
P(in | born) 0.042383550146873686
P(new | in) 0.006786266209769535
P(jersey | new) 0.03910181958962446
P(in | jersey) 0.042383550146873686
P(year | the) 0.0026521019877635693
P(1858. | year) 0.042383550146873686
P(la | contralto—hum!) 0.042383550146873686
P(scala, | la) 0.042383550146873686
P(hum! | scala,) 0.042383550146873686
P(prima | hum!) 0.042383550146873686
P(donna | prima) 0.042383550146873686
P(imperial | donna) 0.042383550146873686
P(opera | imperial) 0.042383550146873686
P(of | opera) 0.042383550146873686
P(warsaw—yes! | of) 0.004375514447862063
P(from | retired) 0.042383550146873686
P(operatic | from) 0.01716811150773415
P(stage—ha! | operatic) 0.042383550146873686
P(living | stage—ha!) 0.042383550146873686
P(in | living) 0.042383550146873686
P(london—quite | in) 0.006786266209769535
P(so! | london—quite) 0.042383550146873686
P(your | so!) 0.04067660088602497
P(as | majesty,) 0.04067660088602497
P(understand, | i) 0.005292668867578473
P(became | understand,) 0.042383550146873686
P(entangled | became) 0.04067660088602497
P(with | entangled) 0.042383550146873686
P(this | with) 0.01265188525616936
P(young | this) 0.049228508449669355
P(person, | young) 0.03910181958962446
P(her | wrote) 0.03910181958962446
P(some | her) 0.02111645410830023
P(compromising | some) 0.028997990238300318
P(letters, | compromising) 0.042383550146873686
P(and | letters,) 0.042383550146873686
P(is | and) 0.004636643253913602
P(now | is) 0.01163192445007486
P(desirous | now) 0.03503295178633368
P(of | desirous) 0.042383550146873686
P(getting | of) 0.004375514447862063
P(letters | those) 0.037644427879239654
P(back.” | letters) 0.04067660088602497
P(so. | “precisely) 0.042383550146873686
P(but | so.) 0.04067660088602497
P(how—” | but) 0.018090632276553824
P(there | “was) 0.04067660088602497
P(a | there) 0.02203796639755619
P(secret | a) 0.004813420387933088
P(marriage?” | secret) 0.042383550146873686
P(legal | “no) 0.04067660088602497
P(papers | legal) 0.042383550146873686
P(or | papers) 0.042383550146873686
P(certificates?” | or) 0.023581601681064674
P(follow | to) 0.014276905563724325
P(your | follow) 0.037644427879239654
P(majesty. | your) 0.02203796639755619
P(if | majesty.) 0.042383550146873686
P(this | if) 0.026010816379088336
P(person | young) 0.03910181958962446
P(should | person) 0.03910181958962446
P(her | produce) 0.042383550146873686
P(letters | her) 0.02111645410830023
P(for | letters) 0.04067660088602497
P(blackmailing | for) 0.018090632276553824
P(or | blackmailing) 0.042383550146873686
P(other | or) 0.023581601681064674
P(purposes, | other) 0.0317310713163682
P(how | purposes,) 0.042383550146873686
P(is | how) 0.028997990238300318
P(she | is) 0.01163192445007486
P(to | she) 0.031004164738546967
P(their | prove) 0.042383550146873686
P(authenticity?” | their) 0.0317310713163682
P(is | “there) 0.03910181958962446
P(writing.” | the) 0.0026521019877635693
P(pooh! | “pooh,) 0.042383550146873686
P(forgery.” | pooh!) 0.042383550146873686
P(private | “my) 0.03503295178633368
P(note-paper.” | private) 0.04067660088602497
P(own | “my) 0.03503295178633368
P(seal.” | own) 0.028188668713368687
P(photograph.” | “my) 0.03503295178633368
P(were | “we) 0.04067660088602497
P(both | were) 0.02414535022710973
P(in | both) 0.03910181958962446
P(photograph.” | the) 0.0026521019877635693
P(dear! | “oh,) 0.037644427879239654
P(that | dear!) 0.042383550146873686
P(very | is) 0.01163192445007486
P(bad! | very) 0.026010816379088336
P(your | bad!) 0.042383550146873686
P(has | majesty) 0.03629177146963708
P(indeed | has) 0.02473671320107764
P(committed | indeed) 0.03910181958962446
P(an | committed) 0.042383550146873686
P(mad—insane.” | was) 0.00842860719352416
P(have | “you) 0.07751738346639196
P(compromised | have) 0.014890166592952971
P(yourself | compromised) 0.042383550146873686
P(seriously.” | yourself) 0.03910181958962446
P(only | was) 0.00842860719352416
P(crown | only) 0.033858531679517266
P(prince | crown) 0.04067660088602497
P(then. | prince) 0.042383550146873686
P(i | then.) 0.042383550146873686
P(young. | was) 0.00842860719352416
P(i | young.) 0.042383550146873686
P(but | am) 0.026010816379088336
P(thirty | but) 0.018090632276553824
P(now.” | thirty) 0.042383550146873686
P(must | “it) 0.030764544623819678
P(recovered.” | be) 0.014673834083975011
P(have | “we) 0.04067660088602497
P(tried | have) 0.014890166592952971
P(and | tried) 0.042383550146873686
P(failed.” | and) 0.004636643253913602
P(must | majesty) 0.03629177146963708
P(pay. | must) 0.0274232962259028
P(it | pay.) 0.042383550146873686
P(must | it) 0.027158711540196695
P(bought.” | be) 0.014673834083975011
P(will | “she) 0.07781649245063878
P(not | will) 0.06293121471879573
P(sell.” | not) 0.015823280589064705
P(then.” | “stolen,) 0.042383550146873686
P(attempts | “five) 0.042383550146873686
P(have | attempts) 0.04067660088602497
P(made. | been) 0.044836047289761316
P(twice | made.) 0.04067660088602497
P(burglars | twice) 0.03629177146963708
P(in | burglars) 0.042383550146873686
P(pay | my) 0.01265188525616936
P(ransacked | pay) 0.042383550146873686
P(her | ransacked) 0.042383550146873686
P(once | house.) 0.03910181958962446
P(we | once) 0.033858531679517266
P(diverted | we) 0.02414535022710973
P(her | diverted) 0.042383550146873686
P(luggage | her) 0.02111645410830023
P(when | luggage) 0.042383550146873686
P(she | when) 0.05176409992274015
P(travelled. | she) 0.015579207157180319
P(twice | travelled.) 0.042383550146873686
P(she | twice) 0.03629177146963708
P(has | she) 0.07727903748264692
P(waylaid. | been) 0.02252955610082534
P(there | waylaid.) 0.042383550146873686
P(has | there) 0.02203796639755619
P(been | has) 0.02473671320107764
P(result.” | no) 0.0317310713163682
P(sign | “no) 0.04067660088602497
P(of | sign) 0.042383550146873686
P(it?” | of) 0.004375514447862063
P(none.” | “absolutely) 0.042383550146873686
P(laughed. | holmes) 0.02414535022710973
P(“it | laughed.) 0.042383550146873686
P(quite | is) 0.01163192445007486
P(a | quite) 0.07222421846927775
P(pretty | a) 0.004813420387933088
P(little | pretty) 0.042383550146873686
P(problem,” | little) 0.028188668713368687
P(said | problem,”) 0.042383550146873686
P(a | “but) 0.0317310713163682
P(very | a) 0.009579183148262877
P(serious | very) 0.026010816379088336
P(one | serious) 0.042383550146873686
P(me,” | to) 0.004790589574538728
P(returned | me,”) 0.042383550146873686
P(the | returned) 0.03910181958962446
P(king | the) 0.01052963264448704
P(reproachfully. | king) 0.03629177146963708
P(indeed. | “very,) 0.042383550146873686
P(and | indeed.) 0.042383550146873686
P(what | and) 0.009227379148877564
P(does | what) 0.025357770524730105
P(she | does) 0.04067660088602497
P(propose | she) 0.015579207157180319
P(to | propose) 0.042383550146873686
P(do | to) 0.009533747569131527
P(with | do) 0.02203796639755619
P(photograph?” | the) 0.007903789092245884
P(ruin | “to) 0.03910181958962446
P(me.” | ruin) 0.042383550146873686
P(how?” | “but) 0.0317310713163682
P(about | am) 0.026010816379088336
P(to | about) 0.03276029841063899
P(married.” | be) 0.014673834083975011
P(i | “so) 0.042383550146873686
P(heard.” | have) 0.014890166592952971
P(clotilde | “to) 0.03910181958962446
P(lothman | clotilde) 0.042383550146873686
P(von | lothman) 0.042383550146873686
P(saxe-meningen, | von) 0.037644427879239654
P(second | saxe-meningen,) 0.042383550146873686
P(daughter | second) 0.042383550146873686
P(of | daughter) 0.042383550146873686
P(you | scandinavia.) 0.042383550146873686
P(know | may) 0.026698387523129793
P(the | know) 0.028997990238300318
P(strict | the) 0.0026521019877635693
P(principles | strict) 0.042383550146873686
P(of | principles) 0.042383550146873686
P(family. | her) 0.02111645410830023
P(she | family.) 0.042383550146873686
P(the | herself) 0.042383550146873686
P(soul | very) 0.05176409992274015
P(of | soul) 0.07491613865076406
P(delicacy. | of) 0.004375514447862063
P(a | delicacy.) 0.042383550146873686
P(shadow | a) 0.004813420387933088
P(of | shadow) 0.042383550146873686
P(as | doubt) 0.037644427879239654
P(my | to) 0.014276905563724325
P(conduct | my) 0.01265188525616936
P(bring | would) 0.028188668713368687
P(the | bring) 0.03910181958962446
P(to | matter) 0.0317310713163682
P(end.” | an) 0.023581601681064674
P(irene | “and) 0.030764544623819678
P(adler?” | irene) 0.06519623743107363
P(to | “threatens) 0.042383550146873686
P(send | to) 0.004790589574538728
P(them | send) 0.04067660088602497
P(the | them) 0.037644427879239654
P(photograph. | the) 0.0026521019877635693
P(and | photograph.) 0.042383550146873686
P(she | and) 0.009227379148877564
P(will | she) 0.04642912231991362
P(do | will) 0.04202383441354798
P(it. | do) 0.043857735108007855
P(i | it.) 0.06314797360980207
P(you | it.) 0.0317310713163682
P(know | not) 0.04715650947830174
P(her, | know) 0.028997990238300318
P(but | her,) 0.03910181958962446
P(she | but) 0.07182518359305033
P(a | has) 0.02473671320107764
P(soul | a) 0.009579183148262877
P(steel. | of) 0.004375514447862063
P(she | steel.) 0.042383550146873686
P(the | has) 0.02473671320107764
P(of | face) 0.03629177146963708
P(beautiful | most) 0.030764544623819678
P(of | beautiful) 0.04067660088602497
P(women, | of) 0.004375514447862063
P(and | women,) 0.042383550146873686
P(mind | the) 0.0026521019877635693
P(of | mind) 0.03629177146963708
P(of | resolute) 0.042383550146873686
P(men. | of) 0.004375514447862063
P(rather | men.) 0.04067660088602497
P(than | rather) 0.03910181958962446
P(i | than) 0.06519623743107363
P(marry | should) 0.028997990238300318
P(another | marry) 0.04067660088602497
P(woman, | another) 0.04067660088602497
P(there | woman,) 0.04067660088602497
P(no | are) 0.023043577458361855
P(to | lengths) 0.042383550146873686
P(which | to) 0.004790589574538728
P(she | which) 0.03053319155400273
P(would | she) 0.04642912231991362
P(go—none.” | not) 0.015823280589064705
P(sure | are) 0.023043577458361855
P(that | sure) 0.07781649245063878
P(she | that) 0.05121128488193805
P(not | has) 0.02473671320107764
