P(. | i) 0.008098223615464995
P(europe | of) 0.0028735632183908046
P(. | europe) 0.011811023622047244
P(speak | to) 0.0029745808545159546
P(, | plainly) 0.006257110352673493
P(implicates | matter) 0.005952380952380953
P(the | implicates) 0.006257110352673493
P(great | the) 0.0020265291083271927
P(house | great) 0.006152125279642058
P(of | house) 0.005888650963597431
P(ormstein | of) 0.0028735632183908046
P(, | ormstein) 0.011877828054298642
P(hereditary | ,) 0.0016799022602321321
P(of | kings) 0.006257110352673493
P(bohemia | of) 0.0028735632183908046
P(. | bohemia) 0.01167964404894327
P(also | was) 0.003973988439306358
P(aware | also) 0.006257110352673493
P(, | that) 0.004266873545384018
P(murmured | ,) 0.003207086133170434
P(holmes | murmured) 0.017435320584926882
P(settling | ,) 0.0016799022602321321
P(himself | settling) 0.006257110352673493
P(down | himself) 0.006117908787541713
P(armchair | his) 0.004047093451066961
P(and | armchair) 0.006152125279642058
P(closing | and) 0.00286607608129234
P(his | closing) 0.006257110352673493
P(. | eyes) 0.011425462459194777
P(visitor | our) 0.005984766050054407
P(glanced | visitor) 0.006117908787541713
P(with | glanced) 0.006257110352673493
P(some | with) 0.004745470232959448
P(apparent | some) 0.005857294994675187
P(surprise | apparent) 0.006257110352673493
P(at | surprise) 0.006221719457013575
P(languid | the) 0.0020265291083271927
P(, | languid) 0.006257110352673493
P(figure | lounging) 0.006221719457013575
P(of | figure) 0.006186726659167604
P(had | who) 0.025147928994082837
P(no | been) 0.010670731707317072
P(depicted | doubt) 0.006117908787541713
P(to | depicted) 0.006257110352673493
P(as | him) 0.005646817248459959
P(incisive | most) 0.005952380952380953
P(reasoner | incisive) 0.006221719457013575
P(and | reasoner) 0.006186726659167604
P(most | and) 0.00286607608129234
P(energetic | most) 0.005952380952380953
P(agent | energetic) 0.006221719457013575
P(in | agent) 0.006186726659167604
P(europe | in) 0.0036208031599736673
P(reopened | slowly) 0.006221719457013575
P(his | reopened) 0.006257110352673493
P(and | eyes) 0.005984766050054407
P(impatiently | looked) 0.006017505470459519
P(at | impatiently) 0.006257110352673493
P(his | at) 0.009341637010676156
P(gigantic | his) 0.004047093451066961
P(client | gigantic) 0.006257110352673493
P(. | client) 0.006117908787541713
P(majesty | your) 0.03553553553553553
P(would | majesty) 0.006017505470459519
P(condescend | would) 0.005795574288724974
P(to | condescend) 0.006257110352673493
P(state | to) 0.0029745808545159546
P(your | state) 0.006257110352673493
P(case | your) 0.0055055055055055055
P(be | should) 0.005888650963597431
P(better | be) 0.004959422903516682
P(able | better) 0.006152125279642058
P(to | able) 0.011877828054298642
P(advise | to) 0.0029745808545159546
P(you | advise) 0.006257110352673493
P(sprang | man) 0.0056179775280898875
P(from | sprang) 0.006221719457013575
P(chair | his) 0.004047093451066961
P(and | chair) 0.006186726659167604
P(paced | and) 0.00286607608129234
P(up | paced) 0.011811023622047244
P(and | up) 0.025024533856722275
P(down | and) 0.010682647212089629
P(the | down) 0.015995872033023734
P(in | room) 0.005888650963597431
P(agitation | uncontrollable) 0.006257110352673493
P(. | agitation) 0.006257110352673493
P(gesture | a) 0.0030153508771929827
P(of | gesture) 0.006257110352673493
P(desperation | of) 0.0028735632183908046
P(, | desperation) 0.006257110352673493
P(tore | he) 0.00407709414381023
P(mask | the) 0.0020265291083271927
P(from | mask) 0.006117908787541713
P(and | face) 0.011487964989059081
P(hurled | and) 0.00286607608129234
P(it | hurled) 0.006257110352673493
P(upon | it) 0.0037187288708586883
P(ground | the) 0.0038688282977155496
P(. | ground) 0.006221719457013575
P(right | are) 0.005533199195171026
P(, | right) 0.006084070796460177
P(cried | he) 0.011489992587101556
P(; | cried) 0.006117908787541713
P(i | ;) 0.005984766050054407
P(the | am) 0.005765199161425576
P(king | the) 0.00939572586588062
P(. | king) 0.006084070796460177
P(why | .) 0.0033029254482541686
P(should | why) 0.01174496644295302
P(i | should) 0.005888650963597431
P(attempt | i) 0.0028735632183908046
P(to | attempt) 0.006257110352673493
P(conceal | to) 0.0029745808545159546
P(it | conceal) 0.006257110352673493
P(, | why) 0.006152125279642058
P(? | indeed) 0.011425462459194777
P(murmured | ?) 0.004828797190517998
P(had | majesty) 0.006017505470459519
P(not | had) 0.014039855072463768
P(spoken | not) 0.004981884057971015
P(before | spoken) 0.006221719457013575
P(i | before) 0.016595289079229122
P(that | aware) 0.006186726659167604
P(addressing | was) 0.003973988439306358
P(wilhelm | addressing) 0.006257110352673493
P(gottsreich | wilhelm) 0.006257110352673493
P(sigismond | gottsreich) 0.006257110352673493
P(von | sigismond) 0.006257110352673493
P(grand | ,) 0.0016799022602321321
P(duke | grand) 0.006257110352673493
P(of | duke) 0.006257110352673493
P(cassel | of) 0.0028735632183908046
P(felstein | cassel) 0.006257110352673493
P(, | felstein) 0.006257110352673493
P(hereditary | and) 0.00286607608129234
P(king | hereditary) 0.006221719457013575
P(of | king) 0.01161504424778761
P(can | you) 0.011199421965317919
P(understand | can) 0.006017505470459519
P(, | understand) 0.01161504424778761
P(our | said) 0.005424063116370809
P(, | visitor) 0.01167964404894327
P(sitting | ,) 0.0016799022602321321
P(down | sitting) 0.006117908787541713
P(once | down) 0.005675954592363261
P(and | more) 0.005984766050054407
P(passing | and) 0.00286607608129234
P(his | passing) 0.006257110352673493
P(over | hand) 0.006017505470459519
P(high | his) 0.004047093451066961
P(white | high) 0.006221719457013575
P(forehead | white) 0.006221719457013575
P(, | forehead) 0.006257110352673493
P(accustomed | not) 0.004981884057971015
P(to | accustomed) 0.006186726659167604
P(doing | to) 0.0029745808545159546
P(such | doing) 0.006221719457013575
P(business | such) 0.006017505470459519
P(in | business) 0.006221719457013575
P(. | person) 0.006117908787541713
P(yet | .) 0.001730103806228374
P(the | yet) 0.005984766050054407
P(was | matter) 0.011363636363636364
P(so | was) 0.003973988439306358
P(delicate | so) 0.005675954592363261
P(that | delicate) 0.006186726659167604
P(confide | not) 0.004981884057971015
P(it | confide) 0.006257110352673493
P(to | it) 0.0037187288708586883
P(agent | an) 0.005646817248459959
P(without | agent) 0.006186726659167604
P(putting | without) 0.00605060506050605
P(myself | putting) 0.006221719457013575
P(in | myself) 0.017051705170517052
P(power | his) 0.004047093451066961
P(. | power) 0.006221719457013575
P(come | have) 0.005004549590536852
P(_incognito_ | come) 0.00605060506050605
P(prague | from) 0.005218216318785579
P(for | prague) 0.006257110352673493
P(purpose | the) 0.0020265291083271927
P(of | purpose) 0.006257110352673493
P(consulting | of) 0.0028735632183908046
P(you | consulting) 0.006257110352673493
P(pray | ,) 0.0016799022602321321
P(consult | pray) 0.006186726659167604
P(, | consult) 0.006221719457013575
P(shutting | ,) 0.0016799022602321321
P(his | shutting) 0.006257110352673493
P(once | eyes) 0.005984766050054407
P(more | once) 0.01155115511551155
P(facts | the) 0.0020265291083271927
P(are | facts) 0.006186726659167604
P(briefly | are) 0.005533199195171026
P(these | briefly) 0.006257110352673493
P(some | these) 0.006152125279642058
P(five | some) 0.005857294994675187
P(years | five) 0.006017505470459519
P(ago | years) 0.006186726659167604
P(, | ago) 0.006221719457013575
P(during | ,) 0.0016799022602321321
P(a | during) 0.006257110352673493
P(lengthy | a) 0.0030153508771929827
P(to | visit) 0.006257110352673493
P(warsaw | to) 0.0029745808545159546
P(, | warsaw) 0.006221719457013575
P(made | i) 0.0054858934169279
P(the | made) 0.00605060506050605
P(acquaintance | the) 0.0020265291083271927
P(of | acquaintance) 0.006257110352673493
P(known | well) 0.005952380952380953
P(adventuress | known) 0.006257110352673493
P(, | adventuress) 0.006257110352673493
P(is | name) 0.006117908787541713
P(no | is) 0.004530477759472817
P(familiar | doubt) 0.006117908787541713
P(to | familiar) 0.006257110352673493
P(look | kindly) 0.006221719457013575
P(her | look) 0.00605060506050605
P(up | her) 0.005293551491819057
P(in | up) 0.005397448478900883
P(index | my) 0.00462573591253154
P(, | index) 0.006257110352673493
P(without | holmes) 0.005293551491819057
P(his | opening) 0.006257110352673493
P(many | for) 0.005218216318785579
P(years | many) 0.006186726659167604
P(he | years) 0.006186726659167604
P(adopted | had) 0.004981884057971015
P(a | adopted) 0.006257110352673493
P(system | a) 0.0030153508771929827
P(of | system) 0.011877828054298642
P(docketing | of) 0.0028735632183908046
P(paragraphs | all) 0.0056179775280898875
P(concerning | paragraphs) 0.006257110352673493
P(men | concerning) 0.006257110352673493
P(and | men) 0.005984766050054407
P(things | and) 0.00286607608129234
P(, | things) 0.006186726659167604
P(so | ,) 0.0016799022602321321
P(that | so) 0.010835913312693499
P(difficult | was) 0.003973988439306358
P(to | difficult) 0.006257110352673493
P(a | name) 0.006117908787541713
P(subject | a) 0.0030153508771929827
P(or | subject) 0.006257110352673493
P(person | a) 0.0030153508771929827
P(on | person) 0.006117908787541713
P(which | on) 0.010616784630940344
P(could | he) 0.011489992587101556
P(furnish | once) 0.00605060506050605
P(. | information) 0.006221719457013575
P(i | case) 0.00605060506050605
P(found | i) 0.0054858934169279
P(her | found) 0.00605060506050605
P(biography | her) 0.005293551491819057
P(sandwiched | biography) 0.006257110352673493
P(in | sandwiched) 0.006257110352673493
P(between | in) 0.0036208031599736673
P(of | that) 0.008145849495733127
P(hebrew | a) 0.0030153508771929827
P(rabbi | hebrew) 0.006257110352673493
P(and | rabbi) 0.006257110352673493
P(staff | a) 0.0030153508771929827
P(commander | staff) 0.006257110352673493
P(who | commander) 0.006257110352673493
P(written | had) 0.004981884057971015
P(a | written) 0.006186726659167604
P(upon | monograph) 0.006257110352673493
P(sea | deep) 0.006186726659167604
P(fishes | sea) 0.006257110352673493
P(. | fishes) 0.006257110352673493
P(me | let) 0.006152125279642058
P(see | me) 0.005293551491819057
P(! | see) 0.005888650963597431
P(hum | .) 0.001730103806228374
P(! | hum) 0.017435320584926882
P(born | !) 0.005561172901921133
P(in | born) 0.006257110352673493
P(new | in) 0.0036208031599736673
P(jersey | new) 0.006186726659167604
P(in | jersey) 0.006257110352673493
P(year | the) 0.0020265291083271927
P(1858 | year) 0.006257110352673493
P(. | 1858) 0.006257110352673493
P(hum | contralto) 0.006257110352673493
P(la | !) 0.005561172901921133
P(scala | la) 0.006257110352673493
P(, | scala) 0.006257110352673493
P(hum | ,) 0.0016799022602321321
P(prima | !) 0.005561172901921133
P(donna | prima) 0.006257110352673493
P(imperial | donna) 0.006257110352673493
P(opera | imperial) 0.006257110352673493
P(of | opera) 0.006257110352673493
P(warsaw | of) 0.0028735632183908046
P(yes | warsaw) 0.006221719457013575
P(! | yes) 0.006152125279642058
P(from | retired) 0.006257110352673493
P(operatic | from) 0.005218216318785579
P(stage | operatic) 0.006257110352673493
P(ha | stage) 0.006221719457013575
P(! | ha) 0.006186726659167604
P(living | !) 0.005561172901921133
P(in | living) 0.006257110352673493
P(london | in) 0.0069124423963133645
P(quite | london) 0.006186726659167604
P(your | !) 0.010616784630940344
P(, | majesty) 0.011487964989059081
P(understand | i) 0.0028735632183908046
P(became | ,) 0.0016799022602321321
P(entangled | became) 0.006221719457013575
P(with | entangled) 0.006257110352673493
P(this | with) 0.004745470232959448
P(young | this) 0.010406342913776016
P(person | young) 0.01174496644295302
P(, | person) 0.006117908787541713
P(her | wrote) 0.006186726659167604
P(some | her) 0.005293551491819057
P(compromising | some) 0.005857294994675187
P(letters | compromising) 0.006257110352673493
P(, | letters) 0.006186726659167604
P(is | and) 0.00286607608129234
P(now | is) 0.004530477759472817
P(desirous | now) 0.005857294994675187
P(of | desirous) 0.006257110352673493
P(getting | of) 0.0028735632183908046
P(letters | those) 0.006152125279642058
P(back | letters) 0.006186726659167604
P(. | back) 0.00605060506050605
P(so | precisely) 0.006152125279642058
P(. | so) 0.010835913312693499
P(how | but) 0.014233241505968778
P(there | was) 0.003973988439306358
P(a | there) 0.00537109375
P(secret | a) 0.0030153508771929827
P(marriage | secret) 0.006257110352673493
P(? | marriage) 0.006186726659167604
P(. | none) 0.022676991150442475
P(legal | no) 0.005857294994675187
P(papers | legal) 0.006221719457013575
P(or | papers) 0.006257110352673493
P(certificates | or) 0.005646817248459959
P(? | certificates) 0.006257110352673493
P(follow | to) 0.0083829096809086
P(your | follow) 0.006152125279642058
P(. | majesty) 0.006017505470459519
P(this | if) 0.00570539419087137
P(should | person) 0.006117908787541713
P(her | produce) 0.006257110352673493
P(letters | her) 0.005293551491819057
P(for | letters) 0.006186726659167604
P(blackmailing | for) 0.005218216318785579
P(or | blackmailing) 0.006257110352673493
P(other | or) 0.005646817248459959
P(purposes | other) 0.005888650963597431
P(, | purposes) 0.006257110352673493
P(is | how) 0.005765199161425576
P(she | is) 0.004530477759472817
P(to | she) 0.009554140127388535
P(their | prove) 0.006257110352673493
P(authenticity | their) 0.005984766050054407
P(? | authenticity) 0.006257110352673493
P(is | there) 0.029785156249999997
P(. | writing) 0.006221719457013575
P(, | pooh) 0.006221719457013575
P(pooh | ,) 0.0016799022602321321
P(! | pooh) 0.006221719457013575
P(forgery | !) 0.005561172901921133
P(. | forgery) 0.006257110352673493
P(private | my) 0.00462573591253154
P(note | private) 0.006221719457013575
P(paper | note) 0.006017505470459519
P(. | stolen) 0.006221719457013575
P(seal | own) 0.005765199161425576
P(. | seal) 0.006257110352673493
P(. | imitated) 0.006257110352673493
P(photograph | my) 0.00462573591253154
P(. | photograph) 0.022186147186147184
P(. | bought) 0.011811023622047244
P(were | we) 0.0056179775280898875
P(both | were) 0.005675954592363261
P(in | both) 0.006152125279642058
P(photograph | the) 0.013080324244657333
P(, | oh) 0.02293064876957494
P(dear | ,) 0.0016799022602321321
P(! | dear) 0.006221719457013575
P(that | !) 0.005561172901921133
P(very | is) 0.004530477759472817
P(bad | very) 0.005735140771637122
P(! | bad) 0.006221719457013575
P(has | majesty) 0.006017505470459519
P(indeed | has) 0.00570539419087137
P(committed | indeed) 0.005984766050054407
P(an | committed) 0.006257110352673493
P(. | indiscretion) 0.006257110352673493
P(mad | was) 0.003973988439306358
P(insane | mad) 0.006257110352673493
P(. | insane) 0.006257110352673493
P(compromised | have) 0.005004549590536852
P(yourself | compromised) 0.006257110352673493
P(seriously | yourself) 0.006186726659167604
P(. | seriously) 0.006186726659167604
P(only | was) 0.003973988439306358
P(crown | only) 0.00605060506050605
P(prince | crown) 0.006221719457013575
P(then | prince) 0.006257110352673493
P(. | then) 0.010304219823356232
P(young | was) 0.003973988439306358
P(. | young) 0.006152125279642058
P(but | am) 0.005765199161425576
P(thirty | but) 0.005050505050505051
P(now | thirty) 0.006257110352673493
P(. | now) 0.02715654952076677
P(must | it) 0.01386071670047329
P(recovered | be) 0.004959422903516682
P(. | recovered) 0.006257110352673493
P(tried | have) 0.005004549590536852
P(and | tried) 0.006257110352673493
P(failed | and) 0.00286607608129234
P(. | failed) 0.006257110352673493
P(must | majesty) 0.006017505470459519
P(pay | must) 0.005826271186440678
P(. | pay) 0.006221719457013575
P(will | she) 0.02320291173794358
P(not | will) 0.015361744301288404
P(sell | not) 0.004981884057971015
P(. | sell) 0.006257110352673493
